timestamp,ticker,open,high,low,close,volume,bu,sd,fb,fs,fn,volume_ma_20,liquidity_score
10/1/2018,HPG,11219.815,11392.224,11153.504,11246.34,6816120,3030656.5,3277730.5,1.32058E+11,12677024000,1.19381E+11,6816120,1
10/2/2018,HPG,11073.931,11153.504,10914.784,10954.571,10602070,4714006.5,5098315.5,99144190000,64265633000,34878550000,8709095,1.217356109
10/3/2018,HPG,10874.998,11034.145,10874.998,10954.571,4992960,2220023.5,2401010.8,91280245000,75590912000,15689330000,7470383.333,0.668367308
10/4/2018,HPG,10928.047,10981.096,10848.474,10981.096,11906470,5293982.5,5725574,1.64239E+11,3.58414E+11,-1.94175E+11,8579405,1.387796706
10/5/2018,HPG,10981.096,11113.718,10928.047,10994.357,6048270,2689246.8,2908487.5,2.63443E+11,3.14589E+11,-51146360000,8073178,0.749180806
10/8/2018,HPG,10928.047,10994.357,10888.26,10928.047,3740940,1663337,1798940.4,59569060000,64913071000,-5344011000,7351138.333,0.508892614
10/9/2018,HPG,11007.62,11007.62,10874.998,10874.998,3708340,1648842,1783263.8,38546227000,61975835000,-23429607000,6830738.571,0.542890049
10/10/2018,HPG,10901.522,11073.931,10861.735,10981.096,6742900,2998100.8,3242520.5,83514330000,1.5128E+11,-67765547000,6819758.75,0.98872999
10/11/2018,HPG,10636.278,10768.9,10424.083,10583.2295,15991110,7110139.5,7689793,1.00152E+11,92997022000,7154588000,7838797.778,2
10/12/2018,HPG,10450.607,10821.949,10450.607,10821.949,6596990,2933224.8,3172355.5,1.30146E+11,92132736000,38013530000,7714617,0.855128647
10/15/2018,HPG,10795.425,10795.425,10662.803,10702.59,4218380,1875621.5,2028531.4,74941050000,28924937000,46016110000,7396777.273,0.570299719
10/16/2018,HPG,10702.59,10808.6875,10702.59,10808.6875,2908510,1293213,1398642.1,38287954000,19691477000,18596480000,7022755,0.414155129
10/17/2018,HPG,10928.047,10941.309,10835.212,10874.998,5125430,2278923.8,2464712.8,60858573000,48610393000,12248178000,6876806.923,0.745321202
10/18/2018,HPG,10874.998,10914.784,10795.425,10874.998,4084530,1816107.6,1964165.6,70205410000,42746907000,27458503000,6677358.571,0.611698467
10/19/2018,HPG,10795.425,10888.26,10715.852,10808.6875,4992750,2219930.2,2400909.8,74137190000,24651693000,49485500000,6565051.333,0.760504335
10/22/2018,HPG,10821.949,10861.735,10636.278,10636.278,2565350,1140633.5,1233623.5,10772733000,22116388000,-11343655000,6315070,0.406226693
10/23/2018,HPG,10596.492,10596.492,10317.986,10477.132,10012340,4451794.5,4814726.5,73884480000,97876605000,-23992123000,6532556.471,1.532683268
10/24/2018,HPG,10397.559,10583.2295,10397.559,10397.559,5213790,2318211.2,2507203.2,84761830000,56643843000,28117985000,6459291.667,0.807176742
10/25/2018,HPG,10079.267,10384.297,10039.4795,10344.511,7241940,3219989.2,3482498.5,56463843000,1.12841E+11,-56376824000,6500483.684,1.114061715
